id,label,statement,subject,speaker,speaker_job,state_info,party_affiliation
f0a129d0471,1,Says 80 journalists have been killed in Mexico in the last decade.,public-safety,jorge-ramos,News anchor for Univision,Florida,journalist
20bbcd1a39c,1,"Obamas Justice-designate Sotomayor threw out (the New Haven firefighters) lawsuit in a sneaky, unsigned opinion -- the judicial equivalent of talk to the hand.","legal-issues,pundits,sotomayor-nomination,supreme-court",ann-coulter,Columnist and author,New York,republican
40d599b00aa,1,"Says Jon Huntsman supports changes in Medicare that would deny guaranteed benefits to 980,000 New Hampshire residents.","medicare,new-hampshire-2012",new-hampshire-democratic-party,,New Hampshire,democrat
3dd85d47616,0,She stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action.,health-care,hillary-clinton,Presidential candidate,New York,democrat
4605ff2ad01,1,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.","economy,income,workers",bernie-s,U.S. Senator,Vermont,independent
5f24621c05d,0,Texas ranks 49th in per-pupil funding among the states.,"education,state-budget,state-finances,states",texas-association-school-boards,Organization,Texas,none
24c323436e9,1,David Dewhurst has never once cut one penny from the state budget.,state-budget,ted-cruz,Senator,Texas,republican
b649de77fd0,1,Says his budget plan would cut our deficits by $4 trillion.,"corrections-and-updates,deficit,federal-budget",barack-obama,President,Illinois,democrat
601aa0720fa,1,Drilling for oil on the Outer Continental Shelf and in parts of Alaska will immediately reduce our dangerous dependence on foreign oil.,"economy,energy",rob-portman,U.S. senator from Ohio,Ohio,republican
60cb5136086,0,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.","state-budget,taxes",marco-rubio,U.S. Senator,Florida,republican
22383afca7e,0,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,"crime,criminal-justice",cory-booker,U.S. senator,New Jersey,democrat
5900e1a837f,0,Illegal immigration and the crime rate are as low as theyve been in decades.,"crime,history,immigration",barack-obama,President,Illinois,democrat
726eab0905a,1,The last Christians are about to leave Iraq.,"iraq,religion",ron-paul,U.S. representative,Texas,republican
a8a104d1f57,0,The highest paid employee of the State of Rhode Island is a basketball coach.,"education,sports,state-budget",deadspin,,,none
0dba112efb9,1,"Chile ranks third internationally in economic freedom, while the U.S. ranks 17th.","economy,foreign-policy,pundits",glenn-beck,,,none
ccc1e566fa8,0,Slot machines in Miami-Dade and Broward counties have generated 20 percent of the promised $500 million per year for schools.,"education,gambling",no-casinos,,Florida,none
07d556e2ec4,1,"With Obamacare,You have no options ..you cant get competitive bidding.",health-care,donald-trump,President-Elect,New York,republican
1a23efdb042,0,There is an increasing amount of evidence from public polling that the highest number of Americans ever identify themselves as pro-life.,abortion,marco-rubio,U.S. Senator,Florida,republican
cc00225546d,1,"Says Rick Scott spent $800,000 of your tax dollars upgrading the Governors Mansion.","government-efficiency,housing",charlie-crist,,Florida,democrat
0c74a7def8f,1,"Every other democracy in the world has a health care system that covers everybody, and we don't.",health-care,howard-dean,Democratic National Committee chairman,Vermont,democrat
e8a77c37ff0,1,"Since January 2008 the private sector has lost nearly 8 million jobs while local, state and federal governments added 590,000.","federal-budget,workers",tim-pawlenty,,,republican
5b0f526038b,1,Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.,"jobs,state-budget",republican-party-florida,,,republican
2bf37767435,1,"The chairman of the party of Florida, who is an avid and outward supporter of Marco Rubio, gets to appoint 30 of those delegates.",elections,corey-lewandowski,Campaign manager for Donald Trump,,republican
dc5c35f31a1,1,The Arab Spring drove up gas prices.,"economy,energy,foreign-policy",barack-obama,President,Illinois,democrat
928022a54ea,1,Says Measures 82 and 83 authorize just one more casino.,"gambling,message-machine-2012",yes-82-and-83-campaign,,,organization
8a698c5ccc6,0,It (Georgia) was one of the earliest Christian nations. The king of then-Georgia in the third century converted to Christianity.,religion,john-mccain,U.S. senator,Arizona,republican
c819e77144d,0,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""","immigration,legal-issues",alfredo-gutierrez,Former state Senator,Arizona,democrat
ed30e70dee5,0,Neither Hillary Clinton or Donald Trump has a plan to address the civil war in Syria.,"corrections-and-updates,foreign-policy,military",julie-pace,"White House reporter, Associated Press",Washington,journalist
232547adbec,1,Says Michelle Nunn is for amnesty.,"homeland-security,immigration",david-perdue,U.S. Senate candidate,Georgia,republican
c2949c7b1ff,1,"Thats legal: If you find out about somebody elses salary even if youre doing exactly the same job, you can be retaliated against, including being fired, in most places.","government-regulation,income,jobs,market-regulation,small-business,unions,women,workers",hillary-clinton,Presidential candidate,New York,democrat
add30e6cf6d,1,Republican Bob Donovan has run as a Republican time and again.,"candidates-biography,city-government,elections",tom-barrett,Mayor of Milwaukee,Wisconsin,democrat
40feab3c51f,0,Most AGs dont go to court..,public-service,holly-benson,,Florida,republican
243adef1f8c,0,Texas has a higher unemployment rate than neighboring states.,economy,bill-white,Former mayor of Houston,Texas,democrat
6dabba583e4,1,Nearly half of African-American children under the age of 6 are living in abject poverty.,"children,diversity,poverty",donald-trump,President-Elect,New York,republican
122ce10b4d9,0,"The religious liberty bill proposed in the Georgia House of Representatives does not specifically exclude corporations, which means they can legally claim a religious exemption.","gays-and-lesbians,legal-issues,religion",jeff-graham,,,independent
4d6b2eedf27,0,"You see a whole bunch of Korean cars here in the United States, and you dont see any American cars in Korea.","foreign-policy,trade,transportation",barack-obama,President,Illinois,democrat
94d35cb4d7e,0,"Obama ""hasn't been to Iraq in years.""",iraq,john-mccain,U.S. senator,Arizona,republican
47a8fb536e5,1,Russ Feingold has not worked anywhere outside of politics.,"candidates-biography,message-machine",ron-johnson,,Wisconsin,republican
0522539e806,0,Abraham Lincoln (once) jumped out of a window in the Illinois Legislature in order to deny a quorum.,"history,labor,state-budget",mark-miller,"State Senator, District 16",Wisconsin,democrat
5884c97747a,0,Says close to 90 percent of the population growth in Texas over the last decade was non-Anglo.,"census,redistricting",garnet-coleman,"president, ceo of Apartments for America, Inc.",Texas,democrat
b4b93b41be1,1,"Health reform will ""give every American the same opportunity"" to buy health insurance the way members of Congress do.",health-care,barack-obama,President,Illinois,democrat
f25d97d4f38,1,More (student-athletes) graduate than the students who arent student-athletes.,"education,sports",mark-emmert,NCAA president,,none
3439bdc0a13,0,Says opponents of the health care law prevailed on our two main arguments to the U.S. Supreme Court.,health-care,sam-olens,,Georgia,republican
ada75b631ae,0,Nearly half of all pregnancies in the U.S. are unintended.,"abortion,census,children,families,health-care,public-health,women",edith-ajello,Rhode Island State Representative,Rhode Island,democrat
b81ec96ebd8,1,"Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores.","military,states",doonesbury,,,none
e1238fd0288,1,ISIS didnt exist when my brother was president. Al-Qaida in Iraq was wiped out when my brother was president.,"foreign-policy,iraq,terrorism",jeb-bush,,Florida,republican
8b19d7d7475,0,Says the typical homeowner will pay $4 more per month if library district passes.,taxes,libraries-yes-committee,,Oregon,none
1d52467d82e,1,Says Gov. Chris Christies decision to close the Elizabeth MVC saved no money.,state-budget,joseph-cryan,State Assemblyman,New Jersey,democrat
185649459b3,1,Says black women are fastest-growing demographic group in ... Texas seeking concealed handgun licenses.,guns,stefani-carter,State representative,Texas,republican
978cc699b7d,1,Franklin Roosevelt (was) the last president to come to the Congress to ask for permission to engage into war.,"foreign-policy,legal-issues,military",charles-rangel,U.S. Congressman,New York,democrat
aa0bf89b3ee,0,The average taxpayer will see the equivalent of a 2 percent pay raise as a result of low fuel prices.,"gas-prices,income",glenn-hegar,Farmer,Texas,republican
c6fa44ea04c,0,Could I just point out that ... I seem to get the first question all the time?,elections,hillary-clinton,Presidential candidate,New York,democrat
e246ab625d3,1,"In Texas, sexting is a felony sex offense for teenagers that can mean up to 10 years in prison.","children,crime,criminal-justice,technology",whoopi-goldberg,The View co-host,New York ,talk-show-host
a09cf500c42,0,Says his state budget will provide an increase in state funding for the 2011-12 school year.,"education,state-budget",john-kitzhaber,Governor of Oregon,Oregon,democrat
d5d79cb44f7,1,President Obama has raised taxes 19 times.,taxes,mitt-romney,Former governor,Massachusetts,republican
a0792f45850,0,Florida ranks first in the nation for access to free prekindergarten.,"children,education",rick-scott,Governor,Florida,republican
15c17e2235d,1,U.S. Sen. Sheldon Whitehouse rewarded Wall Street executives with millions in bonuses.,"corporations,debt,deficit,economy,financial-regulation,government-regulation,message-machine-2012,market-regulation,stimulus,voting-record",barry-hinckley,,Rhode Island,republican
c8c109cc399,1,"Says under his leadership Wisconsin median household income is up 2.7%, while it is down 1.3% nationally under President Obama.","economy,income,job-accomplishments",scott-walker,Milwaukee County Executive,Wisconsin,republican
5391fb7d116,1,Says Hillary Clinton aide Huma Abedin has ties to the Muslim Brotherhood.,"foreign-policy,religion,terrorism",sean-duffy,Member of the U.S. House,Wisconsin,republican
a36c1683db6,1,"Rob Teilhet, Just another career politician.",public-service,ken-hodges,Dougherty County District Attorney,Georgia,democrat
b7006107f64,1,There were 36 states where Republicans who were in charge refused to implement a state (health insurance) exchange.,"health-care,supreme-court",debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat
a0a5795f83e,1,"In Catherine Cortez Mastos last term as attorney general, Nevada murder went up 11 percent, robbery went up 28 percent, rape 51 percent. When Cortez Masto left office, Nevada ranked as Americas third most dangerous state.","candidates-biography,crime,criminal-justice",national-republican-senatorial-committee,,,republican
ef7a4fdd96b,1,"In 2012, 123 African-Americans were shot dead by police. ... Same year, 326 whites were killed by police.","crime,diversity,urban",bill-oreilly,Fox News Channel host,,none
85b0c0218d0,1,More private-sector jobs were created in the second year of the Obama administration than in the eight years of the Bush administration.,"economy,history,jobs",nancy-pelosi,House Minority Leader,California,democrat
568c8833ccf,0,"Were spending less money today, in upcoming fiscal year 2014 than the Corzine-Buono budget spent in fiscal year 2008.","state-budget,state-finances",chris-christie,Governor of New Jersey,New Jersey,republican
6e7e8f5c89a,0,"Rhode Island has the second highest per enrollee (Medicaid) cost of any state in the country, which is 60 percent higher than the national average.","economy,federal-budget,government-efficiency,health-care,medicaid,poverty,public-health,market-regulation,state-budget,state-finances,states,taxes",gina-raimondo,venture capital company founder,Rhode Island,democrat
16325ffc7b5,1,Says that politicians who approved collective bargaining restrictions for public employees exploited a loophole exempting themselves from Senate Bill 5.,"elections,jobs,labor,unions",we-are-ohio,,Ohio,none
e0b407d81b8,1,"Says Rick Scott cut education to pay for even more tax breaks for big, powerful, well-connected corporations.","education,taxes",florida-democratic-party,,Florida,democrat
073c2214731,1,The only years that anybodys ever seen of Donald Trumps tax returns showed he didnt pay any federal income tax.,"candidates-biography,history,income,campaign-advertising,taxes,wealth",hillary-clinton,Presidential candidate,New York,democrat
e91919efa7d,0,The legislature was never given the opportunity to debate or vote on loaning $75 million to 38 Studios.,"baseball,corporations,economy,state-finances,voting-record",dennis-algiere,Banker,Rhode Island,republican
6252a2f8cb6,1,"Loretta Lynch, the new nominee for attorney general, was a member of Bill Clintons defense team during the 1992 Whitewater corruption probe.","candidates-biography,criminal-justice",breitbart,,,none
aaee8ac030f,0,We borrow money from the Chinese to buy oil from the Saudis.,energy,hillary-clinton,Presidential candidate,New York,democrat
d2a3bc9220b,0,"Almost 400 arrests in the city last year for panhandling-related offenses involved just 78 suspects, an indication that the same people are panhandling over and over.","crime,urban",michael-julian-bond,,,none
4674d383a67,1,"Before the HOPE scholarship, 70 percent of the high school students who made 1400 or above on their SAT left the state of Georgia. Now, 70 percent of those stay in the state of Georgia.",education,nathan-deal,,,republican
4ee312b4ce3,0,Says hes the first Aggie governor of Texas.,education,rick-perry,Governor,Texas,republican
662d6dd8ceb,1,"Forty years ago, hardly anybody in the country had health insurance.",health-care,louie-gohmert,U.S. House member,Texas,republican
423d454b5e4,1,The New York Times had to retract its story that Hillary Clintons email handling had broken certain laws.,ethics,brad-woodhouse,,,democrat
74bf3ddf6e0,1,Proposed immigration legislation would give new immigrants a taxpayer-funded cellular phone.,"immigration,welfare",blog-posting,,,none
1eda8a26609,1,The Democrats in the Senate last year introduced a constitutional amendment to repeal the free speech protections of the First Amendment.,"campaign-finance,legal-issues",ted-cruz,Senator,Texas,republican
afc3d76c81d,0,Says no city comparable in size to Austin or smaller was broken into as many congressional districts.,"congress,redistricting",daniel-rodriguez,Anti-death-penalty activist,Texas,democrat
57c88b261e4,1,"In the Florida Republican primary, ""we got a very large percentage of the, quote, conservative vote.""",elections,john-mccain,U.S. senator,Arizona,republican
673d09b7e23,1,"Says a Portland school gives Muslim students their own school provided prayer room, prayer rugs, and lets them out of class five times a day to pray to Allah.",religion,victoria-taft,radio talk show host,Oregon,none
ba80201bb53,1,Says he balanced the budget without raising taxes.,"city-budget,taxes",bob-buckhorn,,Florida,none
28898cf0600,1,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",ethics,barack-obama,President,Illinois,democrat
dc03f3e4675,1,The Providence teacher contract is one of the longest in the country.,"education,labor,unions",angel-taveras,Mayor of Providence,Rhode Island,democrat
c282cd9d199,1,Says the federal government threatened to impose a no-fly zone in Texas if state legislators bar airport security officials from performing pat-downs.,"public-safety,transportation",waco-tea-party,,Texas,tea-party-member
3827479e5b8,1,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.","disability,labor,states,workers",patricia-morgan,Financial adviser,Rhode Island,republican
769a055c978,1,U.S. House opponent Paul Ryan supports cutting funding for veterans by 24 percent.,"disability,federal-budget,health-care,housing,veterans",rob-zerban,,,democrat
07c7d58ef0d,0,The impact of the 2010 federal health care legislation will be huge on Georgia.,health-care,nathan-deal,,,republican
7646494578d,1,"As we near the 10th anniversary of the 9/11 terrorist attacks, we should not forget that some of the hijackers used New Jersey drivers licenses to board those aircraft.","terrorism,transportation",kevin-otoole,State Senator,New Jersey,republican
b339ad9061e,1,President Obama told people to skip coming here (Las Vegas) for conventions and meetings.,"economy,tourism",mitt-romney,Former governor,Massachusetts,republican
efba5ef1b20,0,The poverty rate amongst women is the worst its been in 17 years and the extreme poverty rate is the worst its ever been.,"poverty,women",george-allen,consultant,Virginia,republican
6b6f27cd14b,1,"Between Austin, San Antonio, Houston and Dallas over 8,000 same-sex couples are raising children.","children,civil-rights,families,gays-and-lesbians,marriage",get-equal-texas,Advocacy group,Texas,none
9182dccdccc,1,Women pay 48 percent more for health insurance.,health-care,louise-slaughter,,New York,democrat
e9b47354c5d,1,Says Obama is only president in history who has deliberately removed the words endowed by their Creator when referring to the Declaration of Independence.,"history,message-machine-2012",government-not-god-pac,,,none
8b5d8af7f8e,1,"In Muslim countries, under the Sharia, there is a death penalty for blaspheming Mohammad.",religion,pamela-geller,President of American Freedom Defense Intitiative,New York,activist
2892a8355f6,0,Individuals and small businesses will be hit by increases in health insurance premiums as high as 39 percent.,health-care,americans-united-change,,,none
7b41e943c5a,1,Says Rep. Paul Ryans budget proposal would effectively double the interest paid out on existing and future student loans.,"education,federal-budget",loretta-weinberg,State Senator,,democrat
69f9c44be3c,1,"Says an investigative report concluded Ken Cuccinelli should have been prosecuted for disclosure violations, but Virginias law was too weak.",ethics,terry-mcauliffe,Governor,Virginia,democrat
a3a2917cd7b,0,Says the top 20 percent of income earners pay nearly 70 percent of all federal taxes.,taxes,lamar-smith,Congressman,Texas,republican
03c136186c8,1,Holly Turner... still takes her homestead (property tax) exemption in Fort Worth.,"legal-issues,taxes",paul-workman,Businessman ,Texas,republican
bf1bb2a7044,0,North Carolina Republican Senate candidate Thom Tillis would let insurance companies deny coverage for pre-existing conditions.,health-care,patriot-majority-usa,,,democrat
6005b63e8be,1,The median income in this country has declined 10 percent in the last four years.,economy,mitt-romney,Former governor,Massachusetts,republican
3f94e191569,1,"The wife of the Ferguson, Mo., police chief said African-Americans in Ferguson are feral and violent.","city-government,crime,criminal-justice,families,human-rights,urban",tweets,,,none
cff1bc14ba9,1,The government will go out and buy my breast pump for my babies.,"health-care,taxes,women",michele-bachmann,Congresswoman,Minnesota,republican
3d22dd37c3f,1,She is the only candidate who has stood by our community and immigration reform from the beginning.,immigration,hillary-clinton,Presidential candidate,New York,democrat
0faaf16ff17,0,If upstate New York split from downstate the economic indicators of upstate New York would be among the lowest in the country.,"economy,jobs",bob-duffy,President of the Rochester Business Alliance,New York,democrat
2a39a61b778,1,"When I took office in 2003, we had very little reserves.",city-government,david-cicilline,mayor of Providence,Rhode Island,democrat
84bb79e75d7,1,750 days since Bill Nelson the Democrats in the Senate passed a budget. How can this be justified?,federal-budget,george-lemieux,,Florida,republican
0cd1ec6456e,1,"For his first interview as president, Barack Obama chose Arab TV for an apology.","foreign-policy,message-machine-2012",secure-america-now,,,none
76be2ecf976,1,Says federal health care overhaul will cost Texas state government upwards of $30 billion over the next 10 years.,"health-care,state-budget",rick-perry,Governor,Texas,republican
09e43f621a2,0,McCain voted 19 times against a minimum-wage increase.,federal-budget,joe-biden,U.S. senator,Delaware,democrat
284f1b8b68c,1,Members of Congress can retire with the same pay after only one term in office,"congress,retirement",chain-email,,,none
5629d066331,1,The rifle used by Omar Mateen shoots off 700 rounds in a minute.,guns,alan-grayson,U.S. House of Representatives,Florida,democrat
b0f760bfacc,0,"In every single country, she had a majority of the vote -- or more of those who'd already made up their minds.",elections,hillary-clinton,Presidential candidate,New York,democrat
6f6072ba08d,1,"In my years in the State Legislature, I have never voted for a tax increase.","message-machine-2012,taxes",joseph-kyrillos,State Senator,New Jersey,republican
89bc82a5411,1,Sens. Mark Warner and Tim Kaine voted to let the U.N. take OUR guns.,"guns,voting-record",chain-email,,,none
488ec2d1e1c,0,"The people who want President Barack Obama impeached are all white, theyre all older, and guess what, theyre in the far right wing of the Republican Party.",polls,juan-williams,"Pundit, Fox News",,none
79541357e33,0,"My 7-step plan creates 700,000 jobs in 7 years.","economy,government-efficiency,state-budget,taxes",rick-scott,Governor,Florida,republican
11c21f0df9e,0,Mitt Romney has proposed cutting his own taxes while raising them on 18 million working families.,taxes,barack-obama,President,Illinois,democrat
0ce6509552e,1,The GOPs Pledge to America includes a 20 percent cut ... for education. ... Eight million kids would have their college aid slashed under this budget.,"education,federal-budget,abc-news-week",david-axelrod,,,democrat
7813e5d65ac,1,Fifty percent of Americans will go hungry at some time in their lives.,"economy,hunger,poverty",robert-malin,musician and filmmaker,Rhode Island,activist
330fa3f5dfe,1,Says Patrick Murphy wrongly conveyed Rubios stance on abortion for women infected by Zika.,"abortion,candidates-biography,corrections-and-updates",marco-rubio,U.S. Senator,Florida,republican
f6a840b8721,0,"Today California is kicking our butt, creating more jobs and more economic growth than Texas.","economy,jobs,states",julian-castro,"Mayor, San Antonio",Texas,democrat
260fc0db95d,1,"Because Gov. Chris Christie vetoed a 30-bill job creation package, New Jersey ranks 50th in the nation in job creation.",jobs,lou-greenwald,State Assemblyman,New Jersey,democrat
282bcaa5871,0,The GOP platform that seeks further limits on abortion and is silent on an exception for rape has been there for more than 30 years.,abortion,bob-mcdonnell,Governor,Virginia,republican
ff0e19d35ca,1,"Lois Frankel spent over $13,000 in taxpayer money on a marble shower in a private bathroom with her own toilet.","candidates-biography,city-budget,city-government,message-machine-2012",adam-hasner,,Florida,republican
d12e9718e10,1,"More than two months ago President Barack Obama signed a bill for more than $1 billion in Zika funding, but the federal government has still only committed $7 million to help Florida.","federal-budget,public-health",rick-scott,Governor,Florida,republican
bdd9a34f6d1,1,"Ive created over 40,000 jobs.","job-accomplishments,jobs",craig-miller,Former Ruth's Chris Steak House CEO,Florida,republican
698bacd1e80,1,The growth rate of women-owned businesses in Texas has nearly doubled that of the nation since President Obama has taken office.,"small-business,women",greg-abbott,governor,Texas,republican
70894893248,1,"300,000 Floridians have lost their health insurance as a result of Obamacare.",health-care,americans-prosperity,,,none
2f426eb247b,0,John McCain has seven houses.,candidates-biography,barack-obama,President,Illinois,democrat
94090ead0ad,0,Romney adviser admits Romneycare was blueprint for Obamacare.,"candidates-biography,health-care,message-machine-2012",rick-santorum,,Pennsylvania,republican
d806cb207f9,1,One state even spent a million bucks to put up signs that advertise that they were spending on the federal stimulus projects.,"federal-budget,stimulus,transportation",sarah-palin,,Alaska,republican
6ea0b75f075,1,St. Pete Beachs experiences are a fair example of what could happen if Amendment 4 passes.,"candidates-biography,elections,florida-amendments",citizens-lower-taxes-and-stronger-economy,,Florida,none
0501903857c,1,Says the City of Portland alone has 84 public relation representatives on payroll which cost taxpayers over $6.2 million (a year).,"city-government,government-efficiency",taxpayer-association-oregon,political action committee,Oregon,none
bcf3c854dfa,1,Says President Obamas deal allows Iran to produce a nuclear weapon.,"foreign-policy,nuclear",carlos-beruff,Developer,Florida,republican
215014c7d6e,1,Abortionists have reduced our black population by more than 25 percent since 1973.,abortion,charles-van-zant,Member of Florida House of Representatives,Florida,republican
5dba214e834,1,Says Hillary Clinton is wrong to say he mocked a disabled reporter.,"candidates-biography,disability",donald-trump,President-Elect,New York,republican
edd368ce203,1,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,candidates-biography,ted-nugent,musician,Texas,republican
cfc18cb2ca6,0,Salaries of Austin residents who dont work for city government have not been going up 3 percent a year for the last several years.,"city-budget,city-government,economy,jobs",don-zimmerman,Computer systems,Texas,republican
ff3ac31238d,1,Congresswoman Bachmann actually said we should be 'weaned' off our Social Security and Medicare. She wants to privatize Social Security and replace Medicare with some kind of voucher system.,"medicare,social-security",americans-united-change,,,none
7309d136e08,1,Obama Signs Bill Forgiving All Student Loan Debt.,"education,financial-regulation",chain-email,,,none
d165c406a67,1,Says murder is the chief cause of death for pregnant women.,"crime,women",kyleen-wright,"president, Texans for Life Coalition",Texas,republican
f5a468179f5,0,Northern Virginia is the most heavily trafficked place in the country.,transportation,bob-mcdonnell,Governor,Virginia,republican
d5fbfe3bde2,1,President Barack Obama has announced that he would not sign ANY spending bills this year unless sequestration spending cuts are eliminated.,"congressional-rules,federal-budget",john-boehner,Speaker of the House of Representatives,Ohio,republican
492f4fb3f59,0,There is no planned air-conditioned restaurant out on the Lens.,"recreation,tourism",kathleen-ford,Attorney,Florida,democrat
ed470acacdc,1,"Says every day of a special session costs taxpayers $40,000.",government-efficiency,sal-esquivel,State representative,Oregon,republican
eaf8ecd9406,1,Says many public-employee unions falsely told their Wisconsin members his budget-repair bill sought 12 percent to 13 percent of their incomes for health insurance premiums.,"labor,state-budget",scott-walker,Milwaukee County Executive,Wisconsin,republican
543937fb214,1,"The price tag amounted to nearly $4,200 for every man, woman and child in the state.","debt,weather",steve-lonegan,Conservative Activist,New Jersey,republican
ed5d112f3d6,1,On repealing the 17th Amendment,"debates,elections,states",david-dewhurst,Lieutenant governor,Texas,republican
8a8c5ca4201,0,"From 2003 to 2006, Sesame Street made more than $211 million from toy and consumer product sales.","children,federal-budget",jim-demint,"President, Heritage Foundation",South Carolina,republican
d4d6e4e8e5f,1,"We had people that were getting killed (in Benghazi), we had people who are willing to risk their lives to go save them, and somebody told them to stand down.","military,terrorism",jason-chaffetz,,Utah,republican
ee7d8e5c24d,1,A filibuster has never really been successfully used against a Supreme Court justice.,"legal-issues,supreme-court,colbert-report",jeffrey-toobin,"staff writer at the New Yorker, legal analyst for CNN and author",New York,none
04ddd10fdc9,1,"Under Barack Obama's plan, the government would spend $1-trillion more.",federal-budget,republican-national-committee-republican,,,republican
53f7218802a,1,"In 2006, Arizona had four ballot issues that were ""very tough on illegal immigration... Forty-seven percent of the Hispanics in Arizona voted for them.""",immigration,tom-tancredo,U.S. representative,Colorado,republican
a9af511e4cd,0,No one beta-tested healthcare.gov.,"health-care,pundits,technology",sam-stein,"Political Editor and White House Correspondent, Huffington Post","Washington, D.C.",journalist
e6709306b4d,0,The unemployment rate is declining faster in Tampa than almost anywhere else.,"economy,jobs",bob-buckhorn,,Florida,none
815a93032c9,0,"Congressman Ryan has secured a grand total of $116,838,763 to date (for the Mahoning Valley) and has an additional $27,095,000 pending in FY2010 spending bills.",federal-budget,tim-ryan,U.S. representative ,Ohio,democrat
48c023a5aea,1,Says the Constitution only requires her to tell the census how many people are in our home.,census,michele-bachmann,Congresswoman,Minnesota,republican
8e632d50123,1,Says the headlines tell the story of how Walker has mismanaged Milwaukee County,"job-accomplishments,message-machine",tom-barrett,Mayor of Milwaukee,Wisconsin,democrat
632d93eb4be,0,"Under Rick Scott, homeowners are paying higher (home insurance) premiums for less coverage.","florida,market-regulation",charlie-crist,,Florida,democrat
c4ae7aae3e6,1,About 22 percent of adults in Rhode Island and approximately 30 percent of youth (ages 10-17) are considered obese.,"children,public-health",joseph-mcnamara,House member,Rhode Island,democrat
f02317a440c,0,Says spending in the fiscal 2009 budget was lower than spending in the fiscal 2014 budget,"state-budget,state-finances",barbara-buono,State Senator,New Jersey,democrat
86aa6aea015,1,"Paul Ryan got his start in politics, as a young staffer just out of college, working for then-Congressman John Kasichs Budget Committee.","candidates-biography,congress,elections",chris-redfern,Chairman of the  Ohio Democratic Party,Ohio,democrat
95d05a14932,0,"In 31 states, decent child care costs more than college tuition.","children,education,families",barack-obama,President,Illinois,democrat
da28bebdd14,1,Says Donald Trump bans disabled veterans from his high rise.,veterans,conservative-solutions-pac,,Florida,organization
6c682fc726c,1,The Democrats plan to raise your tax rates to 70 or 80 percent.,taxes,chris-christie,Governor of New Jersey,New Jersey,republican
eff60d5c460,0,"Before April 22, we have restored the rights of more than 18,000 individuals, which is more than the past seven governors combined in their four-year terms.","crime,history",terry-mcauliffe,Governor,Virginia,democrat
05614c83bbc,1,Says Republicans Mitt Romney and Paul Ryan support massive cuts in Social Security for future generations.,"federal-budget,income,retirement,social-security",joe-biden,U.S. senator,Delaware,democrat
